Index,Created At,Project Name,Model Type,Model Name,New Name,Key,Category,Criteria,Value,Last Update
1,2026-07-10 16:10:38 UTC,Sample Project A,project,Actual,,oil,,Never,,07/12/2021 17:41:11
1,2026-07-10 16:10:38 UTC,Sample Project A,project,Actual,,gas,,Never,,07/12/2021 17:41:11
1,2026-07-10 16:10:38 UTC,Sample Project A,project,Actual,,water,,Never,,07/12/2021 17:41:11
2,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast Apr '26,,oil,,Date,2026-03-31,04/14/2026 22:01:46
2,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast Apr '26,,gas,,Date,2026-03-31,04/14/2026 22:01:46
2,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast Apr '26,,water,,Date,2026-03-31,04/14/2026 22:01:46
3,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast April '22,,oil,,Date,2022-03-31,01/07/2025 20:02:43
3,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast April '22,,gas,,Date,2022-03-31,01/07/2025 20:02:43
3,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast April '22,,water,,Date,2022-03-31,01/07/2025 20:02:43
4,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast April '23,,oil,,Date,2023-03-31,01/07/2025 20:02:25
4,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast April '23,,gas,,Date,2023-03-31,01/07/2025 20:02:25
4,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast April '23,,water,,Date,2023-03-31,01/07/2025 20:02:25
5,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast As Of,,oil,,As of Date,,01/07/2025 20:01:18
5,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast As Of,,gas,,As of Date,,01/07/2025 20:01:18
5,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast As Of,,water,,As of Date,,01/07/2025 20:01:18
6,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast Jan '26,,oil,,Date,2025-12-31,11/21/2025 02:02:27
6,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast Jan '26,,gas,,Date,2025-12-31,11/21/2025 02:02:27
6,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast Jan '26,,water,,Date,2025-12-31,11/21/2025 02:02:27
7,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast January '23,,oil,,Date,2022-12-31,01/07/2025 20:02:33
7,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast January '23,,gas,,Date,2022-12-31,01/07/2025 20:02:33
7,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast January '23,,water,,Date,2022-12-31,01/07/2025 20:02:33
8,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast January '25,,oil,,Date,2024-12-31,06/27/2025 13:53:59
8,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast January '25,,gas,,Date,2024-12-31,06/27/2025 13:53:59
8,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast January '25,,water,,Date,2024-12-31,06/27/2025 13:53:59
9,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast July '24,,oil,,Date,2024-06-30,09/19/2024 00:49:09
9,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast July '24,,gas,,Date,2024-06-30,09/19/2024 00:49:09
9,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast July '24,,water,,Date,2024-06-30,09/19/2024 00:49:09
10,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast July '25,,oil,,Date,2025-06-30,07/02/2025 05:51:26
10,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast July '25,,gas,,Date,2025-06-30,07/02/2025 05:51:26
10,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast July '25,,water,,Date,2025-06-30,07/02/2025 05:51:26
11,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast July '26,,oil,,Date,2026-07-01,06/10/2026 04:03:52
11,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast July '26,,gas,,Date,2026-07-01,06/10/2026 04:03:52
11,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast July '26,,water,,Date,2026-07-01,06/10/2026 04:03:52
12,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast June '23,,oil,,Date,2023-05-31,01/07/2025 20:02:16
12,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast June '23,,gas,,Date,2023-05-31,01/07/2025 20:02:16
12,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast June '23,,water,,Date,2023-05-31,01/07/2025 20:02:16
13,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast May '25,,oil,,Date,2025-04-30,07/23/2025 20:33:11
13,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast May '25,,gas,,Date,2025-04-30,07/23/2025 20:33:11
13,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast May '25,,water,,Date,2025-04-30,07/23/2025 20:33:11
14,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast Oct '25,,oil,,Date,2025-08-31,11/18/2025 23:55:37
14,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast Oct '25,,gas,,Date,2025-08-31,11/18/2025 23:55:37
14,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast Oct '25,,water,,Date,2025-08-31,11/18/2025 23:55:37
15,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast October '21,,oil,,Date,2021-09-30,01/07/2025 20:02:50
15,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast October '21,,gas,,Date,2021-09-30,01/07/2025 20:02:50
15,2026-07-10 16:10:38 UTC,Sample Project A,project,Forecast October '21,,water,,Date,2021-09-30,01/07/2025 20:02:50
